"Date and Time","NO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-05-01 01:00:00",26.23,13.5,11.67
"2022-05-01 02:00:00",24.33,11.68,10.02
"2022-05-01 03:00:00",14.48,11.75,10.31
"2022-05-01 04:00:00",12.68,12.28,10.9
"2022-05-01 05:00:00",9.62,11.98,10.31
"2022-05-01 06:00:00",8.53,11.95,10.29
"2022-05-01 07:00:00",6.91,13.31,11.2
"2022-05-01 08:00:00",11.49,14.47,12.07
"2022-05-01 09:00:00",14.54,11.91,10.12
"2022-05-01 10:00:00",13.41,10.86,9.26
"2022-05-01 11:00:00",23.83,11.12,9.42
"2022-05-01 12:00:00",33.1,6.66,4.86
"2022-05-01 13:00:00",43.15,2.8,1.65
"2022-05-01 14:00:00",39.73,3.8,1.83
"2022-05-01 15:00:00",43.06,5.11,2.71
"2022-05-01 16:00:00",29.34,3.34,1.81
"2022-05-01 17:00:00",41.15,2.79,1.95
"2022-05-01 18:00:00",24.33,3.31,2.17
"2022-05-01 19:00:00",39.64,5.25,3.1
"2022-05-01 20:00:00",56.94,6.55,4.75
"2022-05-01 21:00:00",45.44,8.07,6.32
"2022-05-01 22:00:00",50.05,13,9.97
"2022-05-01 23:00:00",50.68,9.94,8.05
"2022-05-02 00:00:00",47.44,10.87,8.22
"2022-05-02 01:00:00",48,10,7.66
"2022-05-02 02:00:00",40.14,11.55,9.73
"2022-05-02 03:00:00",39.2,16.42,13.75
"2022-05-02 04:00:00",33.22,15.79,13.49
"2022-05-02 05:00:00",32.01,15.55,12.53
"2022-05-02 06:00:00",27.36,20.39,17.98
"2022-05-02 07:00:00",34.58,19.45,18.38
"2022-05-02 08:00:00",49.28,16.46,15.51
"2022-05-02 09:00:00",42.74,26.74,23.39
"2022-05-02 10:00:00",47.26,21.79,19.64
"2022-05-02 11:00:00",36.67,12.7,11.1
"2022-05-02 12:00:00",30.96,10.65,9.44
"2022-05-02 13:00:00",41.21,11.51,10.11
"2022-05-02 14:00:00",46.25,14.7,12.31
"2022-05-02 15:00:00",25.82,13.12,11.28
"2022-05-02 16:00:00",32.98,12.57,10.77
"2022-05-02 17:00:00",50.73,13.99,10.75
"2022-05-02 18:00:00",36.87,10.44,9.19
"2022-05-02 19:00:00",51.57,12.42,10.21
