"Date and Time","NO<sub>2</sub>","SO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-01-01 15:00:00",4.59,0.12,16.94,11.28
"2022-01-01 16:00:00",5.05,0,16.31,10.87
"2022-01-01 17:00:00",5.28,-0.09,14.15,9.86
"2022-01-01 18:00:00",5.51,-0.06,14.71,10.35
"2022-01-01 19:00:00",5.35,0.09,14.59,10.32
"2022-01-01 20:00:00",6.05,0.09,15.83,10.59
"2022-01-01 21:00:00",6.13,0.12,15.24,9.55
"2022-01-01 22:00:00",5.46,0.07,15.32,10.22
"2022-01-01 23:00:00",5.8,-0.01,14.89,10.25
"2022-01-02 00:00:00",6.16,0.12,16.31,11.05
"2022-01-02 01:00:00",3.71,0.18,13.87,8.83
"2022-01-02 02:00:00",2.55,0.06,13.66,8.53
"2022-01-02 03:00:00",2.07,0.12,12,7.45
"2022-01-02 04:00:00",2.38,0.15,8.98,5.58
"2022-01-02 05:00:00",2.19,0.16,9.48,5.8
"2022-01-02 06:00:00",2.09,0.12,9.51,5.69
"2022-01-02 07:00:00",2.25,0.21,8.15,4.86
"2022-01-02 08:00:00",2.75,0.11,7.5,4.55
"2022-01-02 09:00:00",3.17,0.1,7.72,4.6
"2022-01-02 10:00:00",3.17,0.18,9.78,6.23
"2022-01-02 11:00:00",3.76,0.14,7.48,4.96
"2022-01-02 12:00:00",4.18,0.3,3.7,2.14
"2022-01-02 13:00:00",4.1,0.31,4.61,2.78
"2022-01-02 14:00:00",4.71,0.63,6.95,4.07
"2022-01-02 14:01:00",,,,
"2022-01-02 15:01:00",,,,
"2022-01-03 10:00:00",5.98,0.22,13.32,7.29
"2022-01-03 11:00:00",7.76,0.32,12.06,6.96
"2022-01-03 12:00:00",8.14,0.48,13.26,7.03
"2022-01-03 13:00:00",8.83,0.5,14.76,9.07
"2022-01-03 14:00:00",9.77,0.38,11.98,6.98
"2022-01-03 15:00:00",11.4,0.24,11.29,6.5
"2022-01-03 16:00:00",10.99,0.31,12.39,6.93
"2022-01-03 17:00:00",12.36,0.28,13.22,8.47
"2022-01-03 18:00:00",12.48,0.24,15.01,10.7
"2022-01-03 19:00:00",14.78,0.5,14.73,10.55
"2022-01-03 20:00:00",19.14,0.31,7.53,5.49
"2022-01-03 21:00:00",20.98,-0.24,4.41,3.52
"2022-01-03 22:00:00",15.15,0.06,5.97,4.05
"2022-01-03 23:00:00",14.34,0.23,8.46,4.63
"2022-01-04 00:00:00",16.89,0.33,7.69,3.86
"2022-01-04 01:00:00",13.91,0.52,9.95,4.78
"2022-01-04 02:00:00",16.38,0.31,9.17,5.15
"2022-01-04 03:00:00",13.11,0.09,9.93,6.17
"2022-01-04 04:00:00",11.83,0.04,11.29,6
"2022-01-04 05:00:00",13.82,0,8.58,4.59
"2022-01-04 06:00:00",17.69,-0.01,7.67,4.33
