"Date and Time","NO<sub>2</sub>","SO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-09-16 11:00:00",3.95,-2.15,12.28,3.07
"2022-09-16 12:00:00",-1.35,-1.57,8.33,2.58
"2022-09-16 13:00:00",-2.39,-1.93,6.37,2.21
"2022-09-16 14:00:00",-2.07,-1.95,7.03,2.47
"2022-09-16 15:00:00",0.09,-2.02,12.04,3.22
"2022-09-16 16:00:00",-0.3,-1.88,8.94,2.74
"2022-09-16 17:00:00",-2.54,-1.97,7.63,2.51
"2022-09-16 18:00:00",-2.5,-1.96,7.77,2.44
"2022-09-16 19:00:00",-1.01,-2.06,8.08,2.73
"2022-09-16 20:00:00",4.62,-1.92,12.87,3.49
"2022-09-16 21:00:00",7.6,-2.04,6.78,2.78
"2022-09-16 22:00:00",2.69,-1.86,9.72,3.71
"2022-09-16 23:00:00",3.59,-2.1,9.62,3.4
"2022-09-17 00:00:00",10.81,-2.02,10.35,3.95
"2022-09-17 01:00:00",20.92,-1.76,8.91,3.66
"2022-09-17 02:00:00",29.63,-1.72,13.41,5.09
"2022-09-17 03:00:00",13.81,-1.74,10.58,4.37
"2022-09-17 04:00:00",15.93,-1.71,12.68,5.19
"2022-09-17 05:00:00",18.68,-1.56,15.79,5.64
"2022-09-17 06:00:00",21.53,-1.84,12.13,4.89
"2022-09-17 07:00:00",29.4,-1.31,21.27,6.35
"2022-09-17 08:00:00",30.36,-0.94,22.46,6.59
"2022-09-17 09:00:00",26.78,-1.31,29.92,9.37
"2022-09-17 10:00:00",23.45,-1.44,32.18,9.5
"2022-09-17 11:00:00",16.02,-1.7,26.32,6.79
"2022-09-17 12:00:00",1.66,-2.03,11.08,3.18
"2022-09-17 13:00:00",-0.88,-2.09,5.38,2.01
"2022-09-17 14:00:00",-1.15,-1.98,6.16,1.95
"2022-09-17 15:00:00",3.14,-2.18,13.12,3.3
"2022-09-17 16:00:00",1.92,-1.68,10.88,3.28
"2022-09-17 17:00:00",-1.41,-1.92,5.52,2.58
"2022-09-17 18:00:00",1.63,-1.8,6.89,2.63
"2022-09-17 19:00:00",3.51,-1.83,11.39,3.2
"2022-09-17 20:00:00",5.45,-2.05,9.09,3.47
"2022-09-17 21:00:00",14.62,-1.88,9.74,5.09
"2022-09-17 22:00:00",26.13,-1.55,16.49,8.29
"2022-09-17 23:00:00",43.42,-1.61,22.21,12.95
"2022-09-18 00:00:00",42.81,-1.45,17.93,11.12
"2022-09-18 01:00:00",39.75,-1.35,17.91,11.29
"2022-09-18 02:00:00",28.41,-1.68,16.7,9.25
"2022-09-18 03:00:00",12.4,-1.54,9.29,6.46
"2022-09-18 04:00:00",6.71,-1.8,14.98,6.64
"2022-09-18 05:00:00",8.49,-1.69,10.11,6.11
"2022-09-18 06:00:00",7.81,-1.49,14.21,6.89
"2022-09-18 07:00:00",12.43,-1.75,16.6,8.14
"2022-09-18 08:00:00",12.26,-1.62,12.25,7.11
"2022-09-18 09:00:00",10.02,-1.68,13.81,7.06
"2022-09-18 10:00:00",11.2,-1.37,18.34,7.04
"2022-09-18 11:00:00",7.69,-1.4,11.9,4.35
"2022-09-18 12:00:00",5.24,-1.65,11.65,3.83
"2022-09-18 13:00:00",1.83,-1.55,9.05,3.14
"2022-09-18 14:00:00",4.06,-1.39,4.75,1.77
"2022-09-18 15:00:00",-1.09,-1.81,3.65,1.16
"2022-09-18 16:00:00",-0.38,-1.18,10.12,2.47
"2022-09-18 17:00:00",-0.19,-1.11,5.66,3.05
"2022-09-18 18:00:00",0.27,-1.43,5.49,3.19
"2022-09-18 19:00:00",5.82,-1.49,8.85,5.09
"2022-09-18 20:00:00",10.73,-1.57,11.02,5.88
"2022-09-18 21:00:00",13.74,-1.64,13.67,7.15
"2022-09-18 22:00:00",11.4,-1.5,13.53,7.53
"2022-09-18 23:00:00",11.4,-1.62,13.09,8.16
"2022-09-19 00:00:00",11.37,-1.69,12.64,7.98
"2022-09-19 01:00:00",24.57,-1.46,14.07,8.93
"2022-09-19 02:00:00",10.51,-1.76,15.8,11.13
"2022-09-19 03:00:00",12.31,-1.74,19.2,10.49
"2022-09-19 04:00:00",8.44,-1.65,18.87,10.37
"2022-09-19 05:00:00",15.08,-1.68,25.06,10.32
"2022-09-19 06:00:00",27.67,-1.45,25.65,9.96
"2022-09-19 07:00:00",41.61,-0.71,35.9,11.19
"2022-09-19 08:00:00",47.64,0.98,66.12,15.09
"2022-09-19 09:00:00",46.19,-0.55,36.84,11.12
"2022-09-19 10:00:00",37.73,-0.67,53.59,13.4
"2022-09-19 11:00:00",31.53,-0.98,49.09,11.82
"2022-09-19 12:00:00",34.07,-1.01,39.9,10.54
"2022-09-19 13:00:00",23.54,-1.46,29.22,8.53
"2022-09-19 14:00:00",19.73,-1.67,27.96,7.84
"2022-09-19 15:00:00",34.46,-1.06,35.66,9.98
"2022-09-19 16:00:00",46.38,-0.24,40.52,12.9
"2022-09-19 17:00:00",31.32,-1.28,36.92,11.32
"2022-09-19 18:00:00",35.52,-1,32.71,10.89
"2022-09-19 19:00:00",47.88,-0.49,21.46,8.65
"2022-09-19 20:00:00",43.11,-1.57,21.57,9.14
"2022-09-19 21:00:00",56.16,-0.22,36.46,15.34
"2022-09-19 22:00:00",44.2,-1.24,31.21,13.58
"2022-09-19 23:00:00",36,-1.22,38.01,14.62
"2022-09-20 00:00:00",37.97,-1.06,30.04,12.63
"2022-09-20 01:00:00",39.32,-1.26,22.93,12.25
"2022-09-20 02:00:00",35.76,-1.37,21.94,12.78
"2022-09-20 03:00:00",33.06,-1.64,20.03,11.83
"2022-09-20 04:00:00",21.98,-1.91,17.51,11.29
"2022-09-20 05:00:00",14.23,-0.98,23.57,11.75
"2022-09-20 06:00:00",32.98,-0.7,23.32,10.14
"2022-09-20 07:00:00",57.07,2.54,68.69,18.49
"2022-09-20 08:00:00",44.43,0.22,35.22,13.31
"2022-09-20 09:00:00",52.03,0.88,36.65,13.47
"2022-09-20 10:00:00",61.88,2.39,56.72,26.47
"2022-09-20 11:00:00",56.22,1.48,39.16,13.12
"2022-09-20 12:00:00",38.24,1.15,28.64,10.44
"2022-09-20 13:00:00",35.08,1.42,25.72,9.98
"2022-09-20 14:00:00",49.8,0.7,32.06,12.24
"2022-09-20 15:00:00",50.33,0.09,35.34,13
"2022-09-20 16:00:00",53.66,0.31,39.96,13.46
"2022-09-20 17:00:00",47.89,-0.44,39.78,13.89
"2022-09-20 18:00:00",52.73,-0.25,36.71,12.39
