"Date and Time","NO<sub>2</sub>","SO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-01-01 00:00:00",22,2.12,7.31,4.08
"2022-01-01 01:00:00",17.49,2.05,20.61,12.7
"2022-01-01 02:00:00",13.28,2.29,30,16.92
"2022-01-01 03:00:00",18.56,2.79,31.65,17.93
"2022-01-01 04:00:00",13.83,2.07,27.55,15.19
"2022-01-01 05:00:00",4.04,1.91,29.32,16.46
"2022-01-01 06:00:00",0.68,1.14,19.93,12.89
"2022-01-01 07:00:00",1.4,1.06,23.2,14.2
"2022-01-01 08:00:00",4.73,1.05,18.51,11.94
"2022-01-01 09:00:00",12.27,1.46,21.62,12.93
"2022-01-01 10:00:00",18.36,10.38,23.76,12.71
"2022-01-01 11:00:00",12.45,12.31,25.9,13.91
"2022-01-01 12:00:00",8.74,11.93,25.48,13.48
"2022-01-01 13:00:00",8.89,10.3,25.64,12.86
"2022-01-01 14:00:00",11.98,13.75,25.86,12.38
"2022-01-01 15:00:00",13.03,14.48,20.83,11.2
"2022-01-01 16:00:00",9.87,14.63,19.16,10.64
"2022-01-01 17:00:00",13.03,12.64,17.15,10.28
"2022-01-01 18:00:00",11.31,13.14,17.05,10.2
"2022-01-01 19:00:00",15.03,11.48,17.37,10.49
"2022-01-01 20:00:00",15.89,10.93,17.3,9.67
"2022-01-01 21:00:00",9.24,5.55,16.69,8.99
"2022-01-01 22:00:00",6.67,3.69,15.45,8.76
"2022-01-01 23:00:00",9.76,2.78,17.81,9.81
"2022-01-02 00:00:00",11.92,2.25,19.63,11.1
"2022-01-02 01:00:00",14.29,1.89,15.86,9.18
"2022-01-02 02:00:00",7.68,1.47,15.77,8.68
"2022-01-02 03:00:00",6.06,1.25,13.88,8.03
"2022-01-02 04:00:00",6.68,1,10.88,6.31
"2022-01-02 05:00:00",4.76,0.84,10.98,6
"2022-01-02 06:00:00",6.04,0.77,11.02,5.88
"2022-01-02 07:00:00",8.99,0.79,10.43,5.34
"2022-01-02 08:00:00",19.04,0.85,10.67,5.18
"2022-01-02 09:00:00",16.7,1.54,10.2,5.1
"2022-01-02 10:00:00",29.8,10.78,11.29,5.69
"2022-01-02 11:00:00",25.11,13.02,10.68,5.36
"2022-01-02 12:00:00",23.02,15.23,5.6,2.37
"2022-01-02 13:00:00",16.93,11.32,6.98,2.86
"2022-01-02 14:00:00",14.87,8.28,10.45,4.08
"2022-01-02 15:00:00",11.39,5.22,12.03,5.35
"2022-01-02 16:00:00",9.07,2.79,8.5,4.82
"2022-01-02 17:00:00",9.39,1.75,10.72,5.75
"2022-01-02 18:00:00",10.78,1.56,14.98,8.16
"2022-01-02 19:00:00",7.35,1.44,18.12,9.25
"2022-01-02 20:00:00",21.16,1.79,17.26,9.72
"2022-01-02 21:00:00",11.18,1.52,17.27,9.26
"2022-01-02 22:00:00",10.93,1.28,15.91,8.89
"2022-01-02 23:00:00",10.45,1.2,18.65,9.82
"2022-01-03 00:00:00",9.91,0.83,15.53,8.62
"2022-01-03 01:00:00",9.07,0.78,14.41,8.32
"2022-01-03 02:00:00",7.72,0.73,14.64,8.12
"2022-01-03 03:00:00",7.43,0.63,14.91,7.86
"2022-01-03 04:00:00",9.59,0.61,14.98,8.04
"2022-01-03 05:00:00",6.26,0.59,13.15,7.06
"2022-01-03 06:00:00",6.05,0.57,14.86,7.35
"2022-01-03 07:00:00",5.24,0.35,17.01,7.83
"2022-01-03 08:00:00",9.42,0.25,18.59,8.56
"2022-01-03 09:00:00",16.59,0.7,15.64,7.85
"2022-01-03 10:00:00",12.5,0.7,15.5,7.85
"2022-01-03 11:00:00",11.47,0.82,13.55,6.95
"2022-01-03 12:00:00",9.56,0.87,12.94,6.6
"2022-01-03 13:00:00",10.45,0.89,14.69,7.49
"2022-01-03 14:00:00",14.75,1.46,14.81,7
"2022-01-03 15:00:00",15.77,1.86,12.66,6.25
"2022-01-03 16:00:00",20.58,1.54,11.36,5.74
"2022-01-03 17:00:00",25.17,1.62,15.3,7.28
"2022-01-03 18:00:00",40.11,2.41,15.49,8.12
"2022-01-03 19:00:00",40.12,8.82,16.55,8.83
"2022-01-03 20:00:00",7.47,2.69,8.55,5.49
"2022-01-03 21:00:00",0.5,0.67,4.76,3.49
"2022-01-03 22:00:00",2.08,0.44,5.94,3.65
"2022-01-03 23:00:00",0.46,0.47,9.19,4.56
"2022-01-04 00:00:00",-1.59,0.52,8.08,3.73
"2022-01-04 01:00:00",-1.41,0.67,10.53,4.27
"2022-01-04 02:00:00",0.85,0.39,9.11,4.65
"2022-01-04 03:00:00",1.67,0.49,10.25,5.28
"2022-01-04 04:00:00",-0.22,0.28,10.14,4.98
"2022-01-04 05:00:00",1.79,0.19,8.77,4.33
"2022-01-04 06:00:00",2.78,0.24,8.59,4.46
"2022-01-04 07:00:00",14.12,0.29,7.6,4.15
"2022-01-04 08:00:00",23.72,0.58,8.51,4.13
"2022-01-04 09:00:00",57.57,1.67,11.1,5.04
"2022-01-04 10:00:00",47.15,1.15,14.51,6.67
"2022-01-04 11:00:00",32.67,0.64,19.04,7.64
"2022-01-04 12:00:00",19.56,0.44,20.86,8.11
"2022-01-04 13:00:00",17.91,-0.64,26.12,9.27
"2022-01-04 14:00:00",14.86,1.7,19.92,7.85
"2022-01-04 15:00:00",25.62,2.22,28.93,9.3
"2022-01-04 16:00:00",39.23,2.02,29.33,10.15
"2022-01-04 17:00:00",41.71,1.62,27.05,11.05
"2022-01-04 18:00:00",39.79,1.48,22.34,9.81
"2022-01-04 19:00:00",43.1,1.65,22.11,11.64
"2022-01-04 20:00:00",38.57,1.46,20.78,12.2
"2022-01-04 21:00:00",31.71,1.27,18.01,11.67
