"Date and Time","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-12-01 00:00:00",3.4,3.09
"2022-12-01 01:00:00",2.65,2.53
"2022-12-01 02:00:00",2.13,2.04
"2022-12-01 03:00:00",1.55,1.52
"2022-12-01 04:00:00",1.65,1.59
"2022-12-01 05:00:00",1.58,1.57
"2022-12-01 06:00:00",1.28,1.27
"2022-12-01 07:00:00",1.77,1.57
"2022-12-01 08:00:00",3.2,2.96
"2022-12-01 09:00:00",6.25,5.75
"2022-12-01 10:00:00",5.63,5.25
"2022-12-01 11:00:00",5.35,4.8
"2022-12-01 12:00:00",2.88,2.67
"2022-12-01 13:00:00",2,1.83
"2022-12-01 14:00:00",1.32,1.33
"2022-12-01 15:00:00",1.38,1.4
"2022-12-01 16:00:00",1.28,1.25
"2022-12-01 17:00:00",1.63,1.59
"2022-12-01 18:00:00",1.33,1.38
"2022-12-01 19:00:00",1.43,1.44
"2022-12-01 20:00:00",1.8,1.78
"2022-12-01 21:00:00",1.7,1.7
"2022-12-01 22:00:00",1.58,1.57
"2022-12-01 23:00:00",1.75,1.77
"2022-12-02 00:00:00",1.7,1.69
"2022-12-02 01:00:00",1.6,1.62
"2022-12-02 02:00:00",1.33,1.36
"2022-12-02 03:00:00",1.07,1.1
"2022-12-02 04:00:00",0.87,0.92
"2022-12-02 05:00:00",0.88,0.9
"2022-12-02 06:00:00",1.38,1.35
"2022-12-02 07:00:00",3.03,2.9
"2022-12-02 08:00:00",2.5,2.45
"2022-12-02 09:00:00",3.83,3.72
"2022-12-02 10:00:00",4.57,4.49
"2022-12-02 11:00:00",3.93,3.82
"2022-12-02 12:00:00",4.2,4
"2022-12-02 13:00:00",3.63,3.42
"2022-12-02 14:00:00",2.53,2.42
"2022-12-02 15:00:00",2.82,2.69
"2022-12-02 16:00:00",3.15,3.04
"2022-12-02 17:00:00",2.43,2.38
"2022-12-02 18:00:00",2.5,2.5
"2022-12-02 19:00:00",2.73,2.72
"2022-12-02 20:00:00",1.7,1.74
"2022-12-02 21:00:00",1.6,1.65
"2022-12-02 22:00:00",1.77,1.82
"2022-12-02 23:00:00",1.6,1.6
"2022-12-03 00:00:00",1.2,1.27
"2022-12-03 01:00:00",1.03,1.11
"2022-12-03 02:00:00",0.73,0.8
"2022-12-03 03:00:00",0.92,0.92
"2022-12-03 04:00:00",0.73,0.72
"2022-12-03 05:00:00",0.43,0.47
"2022-12-03 06:00:00",0.55,0.6
"2022-12-03 07:00:00",0.88,0.86
"2022-12-03 08:00:00",0.73,0.79
"2022-12-03 09:00:00",0.63,0.72
