"Date and Time","NO<sub>2</sub>","O<sub>3</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-07-01 01:00:00",21,24.46,7.1,3.39
"2022-07-01 02:00:00",10.54,33.62,4.62,1.95
"2022-07-01 03:00:00",10.73,30.87,4.2,2.05
"2022-07-01 04:00:00",10.17,28.82,4.18,2.09
"2022-07-01 05:00:00",15.18,24.48,4.92,2.34
"2022-07-01 06:00:00",21.28,20.14,4.24,1.96
"2022-07-01 07:00:00",42.09,9.03,7.49,3.01
"2022-07-01 08:00:00",51.99,4.56,8.26,4.12
"2022-07-01 09:00:00",52.61,0.75,13.26,5.78
"2022-07-01 10:00:00",43.75,10.47,13.68,5.03
"2022-07-01 11:00:00",39.49,15.77,15.35,4.66
"2022-07-01 12:00:00",45.81,17.89,11.29,3.87
"2022-07-01 13:00:00",47.9,13.27,11.09,4.27
"2022-07-01 14:00:00",28.11,35.25,9.91,3.25
"2022-07-01 15:00:00",46.13,21.8,10.84,3.74
"2022-07-01 16:00:00",55.48,16.89,10.21,3.17
"2022-07-01 17:00:00",64.81,10.11,4.32,2.48
"2022-07-01 18:00:00",40.59,19.98,7.96,3.04
"2022-07-01 19:00:00",21.66,30.38,7.55,2.93
"2022-07-01 20:00:00",18.5,30.77,7.21,2.77
"2022-07-01 21:00:00",18.59,30.45,5.25,2.94
"2022-07-01 22:00:00",28.68,16.43,6.49,3.96
"2022-07-01 23:00:00",28.79,16.98,5.31,3.36
"2022-07-02 00:00:00",30.45,18.93,5.7,3.32
"2022-07-02 01:00:00",23.33,21.41,6.18,3.49
"2022-07-02 02:00:00",16.38,23.81,7.29,3.79
"2022-07-02 03:00:00",19.47,22.09,6.68,3.45
"2022-07-02 04:00:00",14.03,27.76,7.68,3.26
"2022-07-02 05:00:00",8.89,33.69,5.94,2.56
"2022-07-02 06:00:00",6.84,36.65,4.27,2.13
"2022-07-02 07:00:00",9.47,34.31,5.54,2.45
"2022-07-02 08:00:00",17.32,29.26,8.09,2.99
"2022-07-02 09:00:00",26.2,29.94,30.26,6.9
"2022-07-02 10:00:00",25.71,29.42,13.15,4.77
"2022-07-02 11:00:00",29.56,28.51,9.65,4.34
"2022-07-02 12:00:00",36.07,23.55,9.74,4.25
"2022-07-02 13:00:00",32.85,29.36,14.3,4.88
"2022-07-02 14:00:00",38.13,29.16,9.39,4.03
"2022-07-02 15:00:00",39.03,26.3,7.83,3.49
"2022-07-02 16:00:00",40.48,21.09,9.65,4.28
"2022-07-02 17:00:00",48.4,20.32,6.9,3.79
"2022-07-02 18:00:00",34.79,21.89,8.66,3.66
"2022-07-02 19:00:00",36.85,20.89,9.82,4.19
"2022-07-02 20:00:00",38.12,16.9,10.63,4.75
"2022-07-02 21:00:00",40.21,10.66,9.28,4.91
"2022-07-02 22:00:00",37.36,12.53,6.15,4.04
"2022-07-02 23:00:00",37.5,10.16,6.36,3.98
"2022-07-03 00:00:00",37.88,12.09,7.83,4.46
"2022-07-03 01:00:00",28.24,13.77,5.78,3.56
"2022-07-03 02:00:00",14.57,26.54,5.16,2.85
"2022-07-03 03:00:00",20.66,23.48,5.98,3.04
"2022-07-03 04:00:00",20.46,21.08,6.92,3.43
"2022-07-03 05:00:00",18.75,19.51,6.57,3.31
