"Date and Time","NO<sub>2</sub>","O<sub>3</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-09-01 01:00:00",14.35,45.93,9.25,4.89
"2022-09-01 02:00:00",16.21,43.37,8.62,4.33
"2022-09-01 03:00:00",13.58,43.42,9.06,4.65
"2022-09-01 04:00:00",17.74,40.37,14.36,6.46
"2022-09-01 05:00:00",11.99,47.97,13.08,6.67
"2022-09-01 06:00:00",28.46,31.23,13.18,6.66
"2022-09-01 07:00:00",43.82,15.08,15.71,7.45
"2022-09-01 08:00:00",55.51,8.01,20.32,8.97
"2022-09-01 09:00:00",42.53,15.25,19.34,7.71
"2022-09-01 10:00:00",35.93,27.97,20.02,7.72
"2022-09-01 11:00:00",29.84,37.64,18.19,7.02
"2022-09-01 12:00:00",29.78,40.06,19.38,7.02
"2022-09-01 13:00:00",27.53,42.6,16.42,6.39
"2022-09-01 14:00:00",26.98,43.82,14.65,6.6
"2022-09-01 15:00:00",17.94,56.67,14.5,6.24
"2022-09-01 16:00:00",17.49,60.12,15.59,6.04
"2022-09-01 17:00:00",19.99,61.7,13.85,6.22
"2022-09-01 18:00:00",24.94,52.77,12.55,5.54
"2022-09-01 19:00:00",20.12,53.37,9.22,4.65
"2022-09-01 20:00:00",22.43,50.32,9.6,5.58
"2022-09-01 21:00:00",25.75,44.42,10.16,5.72
"2022-09-01 22:00:00",30.07,42.68,9.35,4.58
"2022-09-01 23:00:00",27.85,38.16,8.65,4.52
"2022-09-02 00:00:00",28.7,39.47,9.96,4.61
"2022-09-02 01:00:00",18.52,47.14,12.13,5.43
"2022-09-02 02:00:00",20.84,41.37,8.41,4.32
"2022-09-02 03:00:00",17.5,43.34,8.46,4.48
"2022-09-02 04:00:00",21.97,32.06,10.39,4.99
"2022-09-02 05:00:00",27.18,23.44,10.79,5.39
"2022-09-02 06:00:00",36.92,12.13,11.54,5.71
"2022-09-02 07:00:00",48.82,5.44,14.08,6.82
"2022-09-02 08:00:00",53.63,-1.15,21.05,8.58
"2022-09-02 09:00:00",62.54,-0.5,28.67,10.88
"2022-09-02 10:00:00",63.94,0.6,35.94,12.51
"2022-09-02 11:00:00",63.97,9.24,31.77,11.55
"2022-09-02 12:00:00",53.23,16.4,23.45,8.73
"2022-09-02 13:00:00",63.85,13.32,23.5,8.69
"2022-09-02 14:00:00",43.92,30.94,23.66,9.95
"2022-09-02 15:00:00",45.17,32.71,23.43,10.19
"2022-09-02 16:00:00",59.12,25.67,20.46,11.01
