"Date and Time","NO<sub>2</sub>","O<sub>3</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-12-01 00:00:00",66.61,-1.81,46.92,20.95
"2022-12-01 01:00:00",60.84,-1.42,42.1,26.36
"2022-12-01 02:00:00",54.61,-1.75,30.74,22.97
"2022-12-01 03:00:00",54.87,-1.09,18.82,13.91
"2022-12-01 04:00:00",49.75,-2.01,17.44,12.04
"2022-12-01 05:00:00",51.31,-2.31,25.01,14.68
"2022-12-01 06:00:00",47.59,14.93,18.33,8.22
"2022-12-01 07:00:00",67.27,7.81,29.59,9.14
"2022-12-01 08:00:00",82.58,-1.67,50.43,16.28
"2022-12-01 09:00:00",83.58,-2.02,54.47,16.84
"2022-12-01 10:00:00",92.97,-1.75,58.46,17.11
"2022-12-01 11:00:00",93.15,-1.3,59.36,18.43
"2022-12-01 12:00:00",82.06,0.68,40.23,12
"2022-12-01 13:00:00",59.5,9.7,25.72,8.2
"2022-12-01 14:00:00",48.52,23.04,19.42,7.6
"2022-12-01 15:00:00",63.35,12.22,20.1,7.77
"2022-12-01 16:00:00",59.67,11.01,22.37,8.22
"2022-12-01 17:00:00",90.23,1.18,24.51,9.62
"2022-12-01 18:00:00",101.45,4.18,19.85,9.32
"2022-12-01 19:00:00",91.86,0.8,22.11,11.54
"2022-12-01 20:00:00",86.33,-1.12,29.73,14.6
"2022-12-01 21:00:00",86.68,-0.31,44.41,21.1
"2022-12-01 22:00:00",75.75,0.4,34.68,17.79
"2022-12-01 23:00:00",73.21,0.15,39.1,19.33
"2022-12-02 00:00:00",67.98,0.09,55.44,21.14
"2022-12-02 01:00:00",60.44,3.76,33.58,17.49
"2022-12-02 02:00:00",49.46,8.25,33.89,18.84
"2022-12-02 03:00:00",37.11,18.67,20.07,10.11
"2022-12-02 04:00:00",35.13,19.99,16.82,7.62
"2022-12-02 05:00:00",38.21,14.7,13.21,6.21
"2022-12-02 06:00:00",60.02,-0.51,21.94,7.95
"2022-12-02 07:00:00",70.79,-0.98,35.95,10.86
"2022-12-02 08:00:00",82.8,-1.31,32.76,12.2
"2022-12-02 09:00:00",88.13,-1.23,49.82,16.05
"2022-12-02 10:00:00",94.87,-0.95,65.77,19.23
"2022-12-02 11:00:00",94.29,-1.05,74.07,23.23
"2022-12-02 12:00:00",83.53,-2.09,80.7,21.39
"2022-12-02 13:00:00",73.52,-0.8,47.18,14.2
"2022-12-02 14:00:00",70.72,-0.19,41.6,12.61
"2022-12-02 15:00:00",67.54,0.41,41.25,12.33
"2022-12-02 16:00:00",68.26,1.87,29.76,12.32
"2022-12-02 17:00:00",70.34,1.23,28.14,12.27
"2022-12-02 18:00:00",74.83,1.7,26.95,14.85
"2022-12-02 19:00:00",55.5,3.29,25.06,16.64
"2022-12-02 20:00:00",47.68,8.16,26.56,15.29
"2022-12-02 21:00:00",41.27,16.34,24.02,16.57
"2022-12-02 22:00:00",41.82,11.66,25.19,19.83
"2022-12-02 23:00:00",39.69,16.04,21.97,16.49
"2022-12-03 00:00:00",33.42,26.25,15.36,9.34
"2022-12-03 01:00:00",37.22,22.01,13.59,7.44
"2022-12-03 02:00:00",27.39,27.38,12.82,6.98
"2022-12-03 03:00:00",35.85,13.94,10.38,6.78
"2022-12-03 04:00:00",27.72,23.75,12.23,6.95
"2022-12-03 05:00:00",18.35,34.15,9.81,5.35
"2022-12-03 06:00:00",19.93,32.12,8.93,4.74
"2022-12-03 07:00:00",22.92,29.84,10.61,5.57
"2022-12-03 08:00:00",22.1,31.84,12.05,5.35
"2022-12-03 09:00:00",30.08,24.07,12.2,4.37
"2022-12-03 10:00:00",33.62,21.7,11.53,4.24
"2022-12-03 11:00:00",29.39,23.85,12.75,5.16
"2022-12-03 12:00:00",32.73,22.62,18.15,5.25
"2022-12-03 13:00:00",34.53,25.11,10.51,3.65
"2022-12-03 14:00:00",43.71,19.4,12.35,4.52
"2022-12-03 15:00:00",42.61,22.23,13.16,4.6
"2022-12-03 16:00:00",31.13,27.06,12.95,4.96
"2022-12-03 17:00:00",33.91,22.02,9.41,4.11
"2022-12-03 18:00:00",36.6,23.08,8.36,3.59
"2022-12-03 19:00:00",39.79,18.77,8.55,5.44
"2022-12-03 20:00:00",33.09,23.85,8.11,5.03
"2022-12-03 21:00:00",31.45,25.46,10.64,6.38
"2022-12-03 22:00:00",30.07,22.51,10.05,7.09
"2022-12-03 23:00:00",41.91,21.02,8.04,5.13
"2022-12-04 00:00:00",30.79,24.91,7.41,4.28
"2022-12-04 01:00:00",24.72,31.4,6.4,3.66
"2022-12-04 02:00:00",15.94,41.79,6.78,3.32
"2022-12-04 03:00:00",16.34,39.91,7.71,3.59
"2022-12-04 04:00:00",12.42,42.89,7.79,4.34
"2022-12-04 05:00:00",12.01,44.82,8.23,3.82
"2022-12-04 06:00:00",17.04,38.91,10.11,4.47
"2022-12-04 07:00:00",7.46,54.99,8.91,3.66
"2022-12-04 08:00:00",10.64,55.22,3.98,2.03
"2022-12-04 09:00:00",29.9,35.93,7.3,3.58
"2022-12-04 10:00:00",11.58,53.7,8,3.32
"2022-12-04 11:00:00",18.09,47.99,7.16,3.02
