"Date and Time","NO<sub>2</sub>","O<sub>3</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-05-05 09:00:00",57.68,20.96,29.28,7.88
"2022-05-05 10:00:00",58.24,17.82,22.72,7.69
"2022-05-05 11:00:00",55.51,12.88,20.61,7.93
"2022-05-05 11:01:00",,
"2022-05-05 12:00:00",,,22.41,6.36
"2022-05-05 12:01:00",,
"2022-05-05 13:00:00",50.85,12.92,20.04,6.07
"2022-05-05 14:00:00",44.15,15.36,16.7,5.65
"2022-05-05 15:00:00",43.3,18.32,18.99,5.79
"2022-05-05 16:00:00",44.83,16.13,28.01,7.34
"2022-05-05 17:00:00",66.62,8.92,26.8,6.79
"2022-05-05 18:00:00",67.77,5.56,18.51,6.54
"2022-05-05 19:00:00",72.45,5.97,21.2,7.53
"2022-05-05 20:00:00",63.5,9.21,18.95,9.07
"2022-05-05 21:00:00",54.28,10.57,17.68,8.54
"2022-05-05 22:00:00",47.63,13.12,15.79,8.61
"2022-05-05 23:00:00",42.91,10.62,17.2,7.56
"2022-05-06 00:00:00",39.49,11.71,15.69,7.29
"2022-05-06 01:00:00",24.22,20.9,13.18,6.02
"2022-05-06 02:00:00",15.78,25.59,9.33,4.3
"2022-05-06 03:00:00",16.21,23.09,8.51,4.06
"2022-05-06 04:00:00",13.45,28.51,6.34,3.45
"2022-05-06 05:00:00",14.7,28.22,6.5,3.33
"2022-05-06 06:00:00",14.05,24.98,7.14,3.3
"2022-05-06 07:00:00",59.21,13.1,8.49,2.85
"2022-05-06 08:00:00",40.98,13.24,12.09,3.24
"2022-05-06 09:00:00",42.24,15.07,15.84,3.85
"2022-05-06 10:00:00",40.92,17.77,20.45,4.3
"2022-05-06 11:00:00",39.02,17.23,19.68,4.49
"2022-05-06 12:00:00",46.31,9.59,14.63,4.49
"2022-05-06 13:00:00",46.42,6.87,31.59,6.51
"2022-05-06 14:00:00",50.02,11.87,8.08,3.68
"2022-05-06 15:00:00",50.7,21.29,6.85,3
"2022-05-06 16:00:00",68.68,9.52,9.31,4.37
"2022-05-06 17:00:00",69.95,2.06,10.78,5.28
"2022-05-06 18:00:00",68.41,9.51,6.6,3.88
"2022-05-06 19:00:00",73.62,9.98,6.23,3.96
"2022-05-06 20:00:00",67.63,10.29,9.79,5.33
"2022-05-06 21:00:00",65.88,8.57,14.01,6.65
"2022-05-06 22:00:00",59.26,9.08,13.17,7.33
"2022-05-06 23:00:00",65.81,4.54,10.62,7.63
"2022-05-07 00:00:00",59.22,-0.07,10.26,7.43
"2022-05-07 01:00:00",42.7,5.1,9.94,7.37
