"Date and Time","NO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-05-01 01:00:00",5.46,11.35,10.42
"2022-05-01 02:00:00",5.1,11.03,10.34
"2022-05-01 03:00:00",5.09,11.85,10.83
"2022-05-01 04:00:00",3.41,12.19,10.68
"2022-05-01 05:00:00",2.97,12,10.36
"2022-05-01 06:00:00",6.41,13.26,11.28
"2022-05-01 07:00:00",5.04,14.33,12.54
"2022-05-01 08:00:00",5.09,12.43,11.14
"2022-05-01 09:00:00",5.61,11.06,9.7
"2022-05-01 10:00:00",6.91,11.45,9.74
"2022-05-01 11:00:00",13.24,9.87,7.97
"2022-05-01 12:00:00",11.95,3.46,2.34
"2022-05-01 13:00:00",12.77,2.02,1.44
"2022-05-01 14:00:00",15.86,3.17,2.39
"2022-05-01 15:00:00",14.57,2.73,1.89
"2022-05-01 16:00:00",12.55,2.79,2.01
"2022-05-01 17:00:00",12.54,4.24,2.84
"2022-05-01 18:00:00",13.63,4.61,3.52
"2022-05-01 19:00:00",17.86,5.65,3.46
"2022-05-01 20:00:00",22.63,10.67,8.03
"2022-05-01 21:00:00",23.97,10.12,8.28
"2022-05-01 22:00:00",38.3,15.29,12.75
"2022-05-01 23:00:00",39.03,20.2,17.63
"2022-05-02 00:00:00",34.18,26.7,22.55
"2022-05-02 01:00:00",29.22,18.17,15.39
"2022-05-02 02:00:00",16.91,10.31,8.65
"2022-05-02 03:00:00",16.26,9.18,7.46
"2022-05-02 04:00:00",20.88,13.1,11.11
"2022-05-02 05:00:00",18.99,11.2,9.56
"2022-05-02 06:00:00",18.19,23.63,20.84
"2022-05-02 07:00:00",21.03,21.94,20.59
"2022-05-02 08:00:00",24.09,20.26,17.91
"2022-05-02 09:00:00",23.92,30.15,26.73
"2022-05-02 10:00:00",28.82,24.98,21.66
"2022-05-02 11:00:00",30.03,13.5,11.51
"2022-05-02 12:00:00",33.52,12.65,10.72
"2022-05-02 13:00:00",30.06,14.95,12.42
"2022-05-02 14:00:00",28.22,13.63,11.86
"2022-05-02 15:00:00",23.12,12.82,11.04
"2022-05-02 16:00:00",27.62,11.39,9.5
"2022-05-02 17:00:00",28.98,11.02,9.33
"2022-05-02 18:00:00",26.6,9.87,8.49
"2022-05-02 19:00:00",48.13,13.13,10.98
"2022-05-02 20:00:00",23.82,12.29,10.9
