"Date and Time","NO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2021-05-01 01:00:00",55.49,37.34,28.47
"2021-05-01 02:00:00",36.88,30.41,24.38
"2021-05-01 03:00:00",29.44,26.31,21.53
"2021-05-01 04:00:00",29.1,26.74,23.6
"2021-05-01 05:00:00",22.35,24.45,21.31
"2021-05-01 06:00:00",29.17,25.74,20.04
"2021-05-01 07:00:00",31.15,42.47,21.44
"2021-05-01 08:00:00",25.93,29.35,17.14
"2021-05-01 09:00:00",24.86,38.64,16.68
"2021-05-01 10:00:00",16.53,18.41,10.09
"2021-05-01 11:00:00",10.71,10.63,6.18
"2021-05-01 12:00:00",15.4,13.25,6.16
"2021-05-01 13:00:00",20.92,11.07,6.01
"2021-05-01 14:00:00",19.12,7.9,4.56
"2021-05-01 15:00:00",12.03,7.39,4.66
"2021-05-01 16:00:00",10.32,7.92,4.72
"2021-05-01 17:00:00",11.7,8.58,5.5
"2021-05-01 18:00:00",13.71,8.22,5.33
"2021-05-01 19:00:00",10.31,9.43,5.27
"2021-05-01 20:00:00",12.1,9.73,6.93
"2021-05-01 21:00:00",12.24,12.24,9.75
"2021-05-01 22:00:00",15.66,18.69,15.13
"2021-05-01 23:00:00",17.23,17.91,15.31
"2021-05-02 00:00:00",9.1,12.28,9.75
"2021-05-02 01:00:00",4.74,11.13,8.8
"2021-05-02 02:00:00",3.5,9.81,8.67
"2021-05-02 03:00:00",3.86,9.6,8.61
"2021-05-02 04:00:00",6.05,10.43,8.72
"2021-05-02 05:00:00",9.85,12.5,10.26
"2021-05-02 06:00:00",23.73,16.25,11.15
"2021-05-02 07:00:00",19.48,20.74,12.26
"2021-05-02 08:00:00",15.83,17.38,11.53
"2021-05-02 09:00:00",8.5,14.81,10.44
"2021-05-02 10:00:00",7.72,14.03,9.27
"2021-05-02 11:00:00",5.51,12.13,8.69
"2021-05-02 12:00:00",6.12,11.06,7.59
"2021-05-02 13:00:00",5.38,11.76,8.1
"2021-05-02 14:00:00",5.62,9.12,5.47
"2021-05-02 15:00:00",5.73,9.53,5.32
"2021-05-02 16:00:00",6.04,6.81,3.72
"2021-05-02 17:00:00",4.44,7.13,3.84
"2021-05-02 18:00:00",5.14,7.05,3.94
"2021-05-02 19:00:00",6.69,7.06,3.58
"2021-05-02 20:00:00",9.49,7.95,5.04
"2021-05-02 21:00:00",23.12,11.24,7.13
"2021-05-02 22:00:00",23.55,16.63,10.37
"2021-05-02 23:00:00",20.61,14.18,11.13
"2021-05-03 00:00:00",13.24,11.1,8.19
"2021-05-03 01:00:00",7.86,10.18,7.3
"2021-05-03 02:00:00",8.4,7.72,6.23
"2021-05-03 03:00:00",4.88,6.4,4.99
"2021-05-03 04:00:00",1.84,4.15,2.97
"2021-05-03 05:00:00",1.1,4.71,3.05
"2021-05-03 06:00:00",0.88,4.23,2.46
"2021-05-03 07:00:00",4.09,3.01,1.94
"2021-05-03 08:00:00",2.38,2.35,1.53
"2021-05-03 09:00:00",5.32,1.47,1
"2021-05-03 10:00:00",2.31,2.18,1.2
"2021-05-03 11:00:00",1.43,3.99,2.03
"2021-05-03 12:00:00",1,2.1,1.04
"2021-05-03 13:00:00",1.48,1.75,1.1
"2021-05-03 14:00:00",3.34,3.86,1.65
"2021-05-03 15:00:00",5.52,8.39,4.41
"2021-05-03 16:00:00",4.29,17.02,7.9
"2021-05-03 17:00:00",3.51,14.17,7.22
"2021-05-03 18:00:00",3.86,10.72,6.39
"2021-05-03 19:00:00",2.08,8.65,5.53
"2021-05-03 20:00:00",1.47,5.54,3.92
"2021-05-03 21:00:00",4.2,6.51,4.33
"2021-05-03 22:00:00",2.54,2.96,2.22
"2021-05-03 23:00:00",3.27,3.41,2.77
"2021-05-04 00:00:00",2.25,3.53,2.29
"2021-05-04 01:00:00",1.08,2.61,1.56
"2021-05-04 02:00:00",0.59,2.38,1.41
"2021-05-04 03:00:00",-0.37,2.98,1.59
"2021-05-04 04:00:00",-0.11,3.61,2.09
"2021-05-04 05:00:00",0.02,4.46,2.5
"2021-05-04 06:00:00",2.3,7.31,3.69
"2021-05-04 07:00:00",11.81,8.83,4.24
"2021-05-04 08:00:00",13.94,11.59,4.44
"2021-05-04 09:00:00",9.09,13.91,4.21
"2021-05-04 10:00:00",4.66,16.94,4.89
"2021-05-04 11:00:00",6.31,12.87,3.52
"2021-05-04 12:00:00",5.66,13.6,2.96
"2021-05-04 13:00:00",8.68,8.67,2.52
"2021-05-04 14:00:00",6.64,9.2,2.24
"2021-05-04 15:00:00",12.03,8.83,2.32
"2021-05-04 16:00:00",10.05,10.92,3.2
"2021-05-04 17:00:00",9.19,10.19,3.75
"2021-05-04 18:00:00",15.48,11.45,6.18
"2021-05-04 19:00:00",7.94,11.73,5.44
"2021-05-04 20:00:00",7.27,7.76,3.47
"2021-05-04 21:00:00",6.87,7.21,3.97
"2021-05-04 22:00:00",9.08,9.15,6.31
"2021-05-04 23:00:00",9.92,8.07,5.36
"2021-05-05 00:00:00",11.17,7.45,4.61
"2021-05-05 01:00:00",6.78,6.75,4.18
"2021-05-05 02:00:00",3.37,4.74,3.23
"2021-05-05 03:00:00",1.58,4.02,2.57
"2021-05-05 04:00:00",2.11,3.14,2.27
"2021-05-05 05:00:00",2.92,3.97,2.92
"2021-05-05 06:00:00",14.86,3.18,2.25
"2021-05-05 07:00:00",20.8,4.1,2.1
"2021-05-05 08:00:00",20.95,4.59,2.26
"2021-05-05 09:00:00",12,17.41,4.64
"2021-05-05 10:00:00",15.97,25.63,6.01
"2021-05-05 11:00:00",15.07,14.76,4.04
"2021-05-05 12:00:00",10.4,13.22,3.7
"2021-05-05 13:00:00",10.43,5.96,2.69
"2021-05-05 14:00:00",23.84,5.07,2.42
"2021-05-05 15:00:00",11.24,14.24,4.04
"2021-05-05 16:00:00",16.3,10.91,3.37
"2021-05-05 17:00:00",24.45,7.95,3.22
"2021-05-05 18:00:00",18.78,4.61,3.41
"2021-05-05 19:00:00",15.38,5.82,4.37
"2021-05-05 20:00:00",12.34,7.27,4.69
"2021-05-05 21:00:00",12.6,8.78,7.88
"2021-05-05 22:00:00",34.09,13.68,12.63
"2021-05-05 23:00:00",40.81,25.8,23.39
"2021-05-06 00:00:00",42.92,22.27,18.65
"2021-05-06 01:00:00",36.36,18.49,16.29
"2021-05-06 02:00:00",26.23,13.81,12.48
"2021-05-06 03:00:00",14.52,10.66,9.3
"2021-05-06 04:00:00",12.79,8.59,6.57
"2021-05-06 05:00:00",8.53,8.49,5.64
"2021-05-06 06:00:00",18.45,9.53,5.54
"2021-05-06 07:00:00",26.93,10.02,5.71
"2021-05-06 08:00:00",26.74,17.73,6.56
"2021-05-06 09:00:00",24.64,22.93,7.13
"2021-05-06 10:00:00",20.68,19.97,6.07
"2021-05-06 11:00:00",20.03,15.48,5.02
"2021-05-06 12:00:00",10.78,17.29,5.04
"2021-05-06 13:00:00",6.53,12.78,4.33
"2021-05-06 14:00:00",9.78,13.32,4.33
"2021-05-06 15:00:00",12.93,9.92,3.5
"2021-05-06 16:00:00",15.01,12.79,4.11
"2021-05-06 17:00:00",11.21,9.73,3.8
"2021-05-06 18:00:00",11.63,10.45,4.46
"2021-05-06 19:00:00",10.01,9.41,4.97
"2021-05-06 20:00:00",12.19,11.83,5.97
"2021-05-06 21:00:00",11.97,10.7,5.63
"2021-05-06 22:00:00",10.98,10.29,4.79
"2021-05-06 23:00:00",14.76,13.72,6.89
"2021-05-07 00:00:00",22.65,17.47,9.07
"2021-05-07 01:00:00",18.01,15.45,9.32
"2021-05-07 02:00:00",14.5,15.4,9.58
"2021-05-07 03:00:00",6.42,13.84,8.47
"2021-05-07 04:00:00",8.37,10.38,6.4
"2021-05-07 05:00:00",7.23,9.54,5.61
"2021-05-07 06:00:00",20.83,17.69,6.55
"2021-05-07 07:00:00",37.05,26.93,8.83
"2021-05-07 08:00:00",29.72,31.51,9.13
"2021-05-07 09:00:00",25.33,21.2,7.12
"2021-05-07 10:00:00",24.84,19.02,6.55
"2021-05-07 11:00:00",26.13,18.33,5.6
"2021-05-07 12:00:00",16.24,11.84,3.99
"2021-05-07 13:00:00",17.23,43.6,9.11
"2021-05-07 14:00:00",15.3,11.34,3.98
"2021-05-07 15:00:00",9.24,9.6,4.09
"2021-05-07 16:00:00",10.09,8.17,3.57
"2021-05-07 17:00:00",6.65,10.76,4.39
"2021-05-07 18:00:00",6.92,9.16,4.32
"2021-05-07 19:00:00",4.76,7.79,4.04
"2021-05-07 20:00:00",4.42,5.26,3.1
"2021-05-07 21:00:00",5.81,5.59,3.75
"2021-05-07 22:00:00",7.26,6.83,4.81
"2021-05-07 23:00:00",8.33,7.63,5.65
"2021-05-08 00:00:00",3.29,6.15,3.89
"2021-05-08 01:00:00",0.63,8.43,4.06
"2021-05-08 02:00:00",-0.03,7.58,3.56
"2021-05-08 03:00:00",0.27,6.28,3.56
"2021-05-08 04:00:00",0.44,7.4,4.82
"2021-05-08 05:00:00",0.36,10.6,6.32
"2021-05-08 06:00:00",1.87,9.52,5.97
"2021-05-08 07:00:00",2.49,8.01,5.03
"2021-05-08 08:00:00",4.56,6.85,4
"2021-05-08 09:00:00",9.42,8.14,4.15
"2021-05-08 10:00:00",24.23,12.02,5.69
"2021-05-08 11:00:00",11.83,4.85,2.54
"2021-05-08 12:00:00",8.69,3.23,1.84
"2021-05-08 13:00:00",8.67,3.71,2.12
"2021-05-08 14:00:00",7.72,5.72,2.59
"2021-05-08 15:00:00",11.07,5.03,2.8
"2021-05-08 16:00:00",4.47,6.57,4.05
"2021-05-08 17:00:00",3.82,9.23,5.46
"2021-05-08 18:00:00",2.58,11.76,6.43
"2021-05-08 19:00:00",3.52,11.07,6.8
"2021-05-08 20:00:00",2.72,12.56,7.76
"2021-05-08 21:00:00",2.55,13.48,8.4
"2021-05-08 22:00:00",3.02,14.14,8.82
"2021-05-08 23:00:00",1.48,14.2,8.15
"2021-05-09 00:00:00",1.9,13.01,7.89
"2021-05-09 01:00:00",1.73,13.01,7.93
"2021-05-09 02:00:00",0.65,12.95,8.08
"2021-05-09 03:00:00",1.15,13.14,7.7
"2021-05-09 04:00:00",0.71,15.03,8.44
"2021-05-09 05:00:00",0.32,16.31,9.01
"2021-05-09 06:00:00",0.31,13.86,8.33
"2021-05-09 07:00:00",2.62,11.87,7.04
"2021-05-09 08:00:00",1.39,11.18,6.5
"2021-05-09 09:00:00",3.16,11.92,6.28
"2021-05-09 10:00:00",4.11,14.13,6.44
"2021-05-09 11:00:00",0.99,11.12,6.39
"2021-05-09 12:00:00",2,11.44,6.27
"2021-05-09 13:00:00",0.98,12.95,6.41
"2021-05-09 14:00:00",1.5,11.59,6.01
"2021-05-09 15:00:00",0.52,9.68,5.74
"2021-05-09 16:00:00",0.88,9.64,5.75
"2021-05-09 17:00:00",1.31,10.65,6.11
"2021-05-09 18:00:00",1.23,10.43,6.14
"2021-05-09 19:00:00",1.29,9.69,5.94
"2021-05-09 20:00:00",1.83,9.95,6.17
"2021-05-09 21:00:00",2.88,9.32,6.05
"2021-05-09 22:00:00",1.47,10.27,6.89
"2021-05-09 23:00:00",1.1,8.51,5.03
"2021-05-10 00:00:00",1.84,7.22,4.77
"2021-05-10 01:00:00",1.78,6.52,4.07
"2021-05-10 02:00:00",0.7,4.43,3.02
"2021-05-10 03:00:00",0.53,4.4,2.93
"2021-05-10 04:00:00",-0.1,4.21,2.73
"2021-05-10 05:00:00",-0.4,5.56,3.74
"2021-05-10 06:00:00",7.12,2.9,1.64
"2021-05-10 07:00:00",7.92,3.63,1.89
"2021-05-10 08:00:00",16.36,5.28,2.7
"2021-05-10 09:00:00",9.28,4.25,1.75
"2021-05-10 10:00:00",6.39,4.14,1.75
"2021-05-10 11:00:00",5.21,4.11,1.89
"2021-05-10 12:00:00",5.38,7.67,1.95
"2021-05-10 13:00:00",8.33,12.48,3.2
"2021-05-10 14:00:00",3.17,6.9,2.29
"2021-05-10 15:00:00",2.43,4.72,1.7
"2021-05-10 16:00:00",5.11,4.44,1.57
"2021-05-10 17:00:00",7.14,5.25,2.07
"2021-05-10 18:00:00",10.13,2.8,1.93
"2021-05-10 19:00:00",6.54,2.28,1.64
"2021-05-10 20:00:00",5.88,3.03,2.16
"2021-05-10 21:00:00",6.32,5.34,4.57
"2021-05-10 22:00:00",5.85,5.8,3.8
"2021-05-10 23:00:00",5.5,9.53,5.66
"2021-05-11 00:00:00",1.14,9.33,5.23
"2021-05-11 01:00:00",-0.05,10.06,5.01
"2021-05-11 02:00:00",-0.72,11.91,5.67
"2021-05-11 03:00:00",-0.7,14.8,6.69
"2021-05-11 04:00:00",-1.05,14.4,6.78
"2021-05-11 05:00:00",-0.97,15.89,7.72
"2021-05-11 06:00:00",16.78,14.51,6.82
"2021-05-11 07:00:00",15.77,14.65,6.52
"2021-05-11 08:00:00",12.47,14.19,6.8
"2021-05-11 09:00:00",9.45,15.21,7.07
"2021-05-11 10:00:00",9.35,12.56,5.88
"2021-05-11 11:00:00",5.12,9.1,4.61
"2021-05-11 12:00:00",4.62,11.79,5.41
