"Date and Time","NO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-01-01 00:00:00",0.87,10.64,8.44
"2022-01-01 01:00:00",0.1,20.05,13.73
"2022-01-01 02:00:00",-1,21.74,12.88
"2022-01-01 03:00:00",-1.83,23.92,13.5
"2022-01-01 04:00:00",-2.37,26.37,15.19
"2022-01-01 05:00:00",-2.61,23.77,14.51
"2022-01-01 06:00:00",-2.42,22.96,14.39
"2022-01-01 07:00:00",-1.88,22.14,14.43
"2022-01-01 08:00:00",-2.46,17.82,11.84
"2022-01-01 09:00:00",-2.4,20.87,12.75
"2022-01-01 10:00:00",-1.36,21.32,13.36
"2022-01-01 11:00:00",-1.29,23.83,14.55
"2022-01-01 12:00:00",-0.59,21.76,13.3
"2022-01-01 13:00:00",-1.08,20.58,12.44
"2022-01-01 14:00:00",-0.85,17.73,11.33
"2022-01-01 15:00:00",-0.62,18.39,11.59
"2022-01-01 16:00:00",0.55,18.52,11.98
"2022-01-01 17:00:00",-0.33,16.54,11.44
"2022-01-01 18:00:00",-0.39,15.47,11.03
"2022-01-01 19:00:00",0.21,15.3,10.57
"2022-01-01 20:00:00",1.19,14.04,9.56
"2022-01-01 21:00:00",2.32,17.28,11.42
"2022-01-01 22:00:00",0.52,18.06,11.46
"2022-01-01 23:00:00",-0.61,16.67,10.67
"2022-01-02 00:00:00",-0.84,16.43,10.24
"2022-01-02 01:00:00",-0.89,18.24,11.85
"2022-01-02 02:00:00",-2.35,16.05,9.31
"2022-01-02 03:00:00",-2.84,12.54,7.74
"2022-01-02 04:00:00",-2.98,9.22,5.75
"2022-01-02 05:00:00",-3.1,10.38,6.09
"2022-01-02 06:00:00",-1.96,9.65,5.76
"2022-01-02 07:00:00",-2.44,8.91,5.22
"2022-01-02 08:00:00",-2.44,8.48,4.74
"2022-01-02 09:00:00",-0.88,8.47,5.01
"2022-01-02 10:00:00",-1.23,9.33,5.47
"2022-01-02 11:00:00",0.03,5.73,3.53
"2022-01-02 12:00:00",-0.28,4.21,2.49
"2022-01-02 13:00:00",-0.13,4.61,2.64
"2022-01-02 14:00:00",-0.28,8.15,4.46
"2022-01-02 15:00:00",0.62,8.62,5.21
"2022-01-02 16:00:00",3.11,7.72,4.67
"2022-01-02 17:00:00",1.67,10.51,6.74
"2022-01-02 18:00:00",0.54,13.08,8.24
"2022-01-02 19:00:00",1.76,13.83,8.71
"2022-01-02 20:00:00",1.39,13.29,8.4
"2022-01-02 21:00:00",0.65,13.76,9.15
